epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,335.793,1.44761,2.78732,1.60624,0.03034,0.05263,0.00546,0.00311,1.42665,6.22286,1.41212,0.000657895,0.000657895,0.000657895
2,662.838,1.60829,2.42359,1.72082,0.18719,0.26316,0.14208,0.04978,1.86974,8.99629,1.75061,0.001259,0.001259,0.001259
3,986.142,1.68597,2.19389,1.78378,0.02443,0.15789,0.01391,0.00623,1.95837,9.18094,1.78305,0.0017941,0.0017941,0.0017941
4,1365.86,1.72621,2.05955,1.84734,0.08037,0.21053,0.03559,0.01661,1.75079,15.8155,1.71729,0.001703,0.001703,0.001703
5,1717.91,1.67561,1.93217,1.74347,0.04766,0.47368,0.02957,0.0105,2.09466,7.86054,1.75656,0.001604,0.001604,0.001604
6,2100.16,1.63992,1.80931,1.73399,0.19964,0.42105,0.15749,0.09295,1.73871,3.79262,1.5655,0.001505,0.001505,0.001505
7,2495.64,1.60012,1.6833,1.67842,0.32959,0.52632,0.21071,0.11544,1.50672,3.32102,1.43944,0.001406,0.001406,0.001406
8,2850.53,1.50694,1.57603,1.61273,0.11977,0.31579,0.08214,0.04674,1.54124,4.83816,1.42893,0.001307,0.001307,0.001307
9,3206.27,1.53219,1.63913,1.64311,0.22445,0.42105,0.14975,0.08125,1.43509,4.59831,1.39626,0.001208,0.001208,0.001208
10,3561.77,1.48987,1.47918,1.61814,0.30803,0.56262,0.22052,0.14586,1.37731,3.30663,1.35642,0.001109,0.001109,0.001109
11,3906.11,1.41113,1.46344,1.64944,0.30317,0.41246,0.2168,0.12319,1.47627,3.3303,1.48429,0.00101,0.00101,0.00101
12,4253.21,1.36116,1.3001,1.6194,0.28902,0.63158,0.23939,0.12622,1.40747,3.46818,1.39773,0.000911,0.000911,0.000911
13,4617.63,1.31906,1.2657,1.58434,0.31577,0.47368,0.23672,0.14369,1.38716,3.19125,1.40043,0.000812,0.000812,0.000812
14,4996.65,1.30351,1.111,1.53145,0.29584,0.63158,0.25233,0.14022,1.34594,3.60018,1.43018,0.000713,0.000713,0.000713
15,5361.97,1.25223,1.09276,1.50488,0.33056,0.70198,0.26589,0.15192,1.4983,3.53145,1.48359,0.000614,0.000614,0.000614
16,5723.77,1.2146,1.03161,1.47999,0.33271,0.68421,0.28457,0.16637,1.32883,3.37924,1.42628,0.000515,0.000515,0.000515
17,6088.65,1.18481,0.97497,1.45927,0.38777,0.78947,0.33976,0.20226,1.34725,2.92623,1.43471,0.000416,0.000416,0.000416
18,6425.08,1.16289,0.93054,1.4487,0.35123,0.68421,0.30269,0.19869,1.22109,3.34273,1.34467,0.000317,0.000317,0.000317
19,6757.71,1.10207,0.85902,1.37655,0.34561,0.73684,0.28771,0.20067,1.13451,2.99739,1.2828,0.000218,0.000218,0.000218
20,7092.79,1.0759,0.81795,1.36802,0.35482,0.73684,0.30824,0.21811,1.13519,3.00168,1.27934,0.000119,0.000119,0.000119
