epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.2831,2.11895,3.42504,1.92898,0.00333,0.75,0.04281,0.02033,1.8627,3.92255,2.12628,0,0,0
2,4.74409,1.68848,3.13848,1.65685,0.00333,0.75,0.05861,0.02536,1.8956,3.8869,2.12574,1.9604e-05,1.9604e-05,1.9604e-05
3,6.90621,2.04736,3.26416,1.9319,0.00333,0.75,0.05552,0.03092,1.98368,3.88132,2.14123,3.8416e-05,3.8416e-05,3.8416e-05
4,9.19341,1.75341,3.1413,1.5225,0.00333,0.75,0.05904,0.03284,1.98103,3.79492,2.104,5.6436e-05,5.6436e-05,5.6436e-05
5,11.4223,1.80605,3.23247,1.74119,0.00333,0.75,0.09262,0.0518,1.88122,3.71156,2.02165,7.3664e-05,7.3664e-05,7.3664e-05
6,13.8618,1.20355,2.92521,1.4797,0.00333,0.75,0.11731,0.06882,1.68997,3.61584,1.89792,9.01e-05,9.01e-05,9.01e-05
7,16.0155,1.31986,2.7984,1.40293,0.00333,0.75,0.25486,0.10433,1.62624,3.58574,1.80646,0.000105744,0.000105744,0.000105744
8,18.2051,1.30275,2.804,1.34195,0.00333,0.75,0.36829,0.15627,1.56769,3.56793,1.74769,0.000120596,0.000120596,0.000120596
9,20.3599,1.16239,3.09898,1.4787,0.00333,0.75,0.36829,0.15627,1.56769,3.56793,1.74769,0.000134656,0.000134656,0.000134656
10,22.4805,1.76117,3.05684,1.68313,0.00333,0.75,0.48037,0.20868,1.47911,3.47523,1.5978,0.000147924,0.000147924,0.000147924
11,24.702,1.49013,2.91405,1.51433,0.00333,0.75,0.48037,0.20868,1.47911,3.47523,1.5978,0.0001604,0.0001604,0.0001604
12,26.8434,1.64405,2.74735,1.65252,0.00333,0.75,0.65293,0.32656,1.425,3.31078,1.46617,0.000172084,0.000172084,0.000172084
13,28.9289,1.31766,2.46069,1.52404,0.00333,0.75,0.65293,0.32656,1.425,3.31078,1.46617,0.000182976,0.000182976,0.000182976
14,31.1037,1.59185,2.5955,1.42164,0.00389,0.875,0.68471,0.43414,1.30142,3.20318,1.36043,0.000193076,0.000193076,0.000193076
15,33.1697,1.40494,2.35592,1.36368,0.00389,0.875,0.68471,0.43414,1.30142,3.20318,1.36043,0.000202384,0.000202384,0.000202384
16,35.3041,1.52069,2.4106,1.58187,0.00389,0.875,0.66472,0.45055,1.11235,3.12952,1.19192,0.0002109,0.0002109,0.0002109
17,37.3815,1.03912,1.56585,1.12865,0.00389,0.875,0.66472,0.45055,1.11235,3.12952,1.19192,0.000218624,0.000218624,0.000218624
18,39.5365,1.02803,2.2934,1.41201,0.00444,1,0.64565,0.41681,1.12127,3.05673,1.18126,0.000225556,0.000225556,0.000225556
19,41.6437,1.61613,2.25439,1.57913,0.00444,1,0.64565,0.41681,1.12127,3.05673,1.18126,0.000231696,0.000231696,0.000231696
20,43.7509,1.29319,1.94938,1.32433,0.00444,1,0.64423,0.43978,1.07665,2.92079,1.15308,0.000237044,0.000237044,0.000237044
21,45.8562,1.22549,1.81624,1.396,0.00444,1,0.64423,0.43978,1.07665,2.92079,1.15308,0.0002416,0.0002416,0.0002416
