epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.5297,1.29998,2.75639,1.41535,0.00336,0.99351,0.62153,0.35146,1.14611,3.0198,1.31117,0.00018,0.00018,0.00018
2,105.192,1.2581,1.87111,1.33373,0.00333,0.98701,0.76965,0.45295,1.15377,2.92517,1.3068,0.00036119,0.00036119,0.00036119
3,156.592,1.2843,1.68109,1.32352,0.97823,0.29182,0.88233,0.53287,1.18187,2.75444,1.3216,0.00052258,0.00052258,0.00052258
4,207.953,1.36906,1.63771,1.37071,0.96658,0.1878,0.78617,0.40535,1.27468,2.92656,1.38768,0.00066417,0.00066417,0.00066417
5,260.145,1.3115,1.62733,1.33751,0.91743,0.57716,0.7546,0.43706,1.23894,2.64501,1.39868,0.00078596,0.00078596,0.00078596
6,312.137,1.30712,1.53698,1.33772,0.90889,0.58301,0.70959,0.40549,1.34502,2.65998,1.49408,0.00088795,0.00088795,0.00088795
7,364.188,1.30104,1.47521,1.31622,0.84026,0.64897,0.79029,0.48154,1.32782,2.32191,1.48959,0.00097014,0.00097014,0.00097014
8,416.866,1.31709,1.42203,1.30182,0.78447,0.75974,0.85359,0.50467,1.33646,1.88916,1.43977,0.00103253,0.00103253,0.00103253
9,469.859,1.29517,1.34098,1.29421,0.79834,0.71429,0.81916,0.45625,1.3945,2.06987,1.49447,0.00107512,0.00107512,0.00107512
10,522.826,1.21896,1.30653,1.26292,0.65216,0.46265,0.53181,0.21536,1.67863,2.95557,2.04247,0.00109791,0.00109791,0.00109791
11,575.139,1.28618,1.69271,1.29863,0.30454,0.31169,0.23873,0.08351,1.78197,3.50232,2.19702,0.00101,0.00101,0.00101
12,627.8,1.24706,1.73607,1.29139,0.86871,0.85933,0.92873,0.54921,1.32482,1.64903,1.33759,0.000911,0.000911,0.000911
13,679.857,1.19313,1.53135,1.28456,0.90125,0.9026,0.95956,0.63209,1.17846,1.55204,1.28088,0.000812,0.000812,0.000812
14,732.262,1.15665,1.4821,1.29634,0.94193,0.94792,0.98017,0.61882,1.18064,1.39955,1.258,0.000713,0.000713,0.000713
15,784.978,1.0992,1.34151,1.21081,0.97899,0.90765,0.98373,0.65406,1.12427,1.27341,1.22356,0.000614,0.000614,0.000614
16,837.84,1.10232,1.25927,1.20308,0.96065,0.95104,0.98492,0.67872,1.1265,1.2052,1.20796,0.000515,0.000515,0.000515
17,890.577,1.08858,1.25604,1.19063,0.93742,0.97272,0.98301,0.67759,1.08207,1.1824,1.15776,0.000416,0.000416,0.000416
18,943.51,1.08134,1.21942,1.19304,0.97467,0.96104,0.99147,0.7038,1.05564,1.12129,1.13816,0.000317,0.000317,0.000317
19,996.564,1.02485,1.16679,1.16752,0.98027,0.968,0.99254,0.70504,1.02207,1.07717,1.12153,0.000218,0.000218,0.000218
20,1049.64,1.00802,1.18636,1.17082,0.99336,0.971,0.99351,0.73643,0.97083,1.023,1.08379,0.000119,0.000119,0.000119
